Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-06,356.5,358.7900085449219,349.17999267578125,352.7799987792969,13488500,0,0
2021-07-07,355.260009765625,356.489990234375,350.0,350.489990234375,14218900,0,0
2021-07-08,345.7300109863281,348.3299865722656,342.55999755859375,345.6499938964844,14406500,0,0
2021-07-09,345.32000732421875,350.7099914550781,345.2699890136719,350.4200134277344,13018700,0,0
2021-07-12,351.2300109863281,354.19000244140625,349.6400146484375,353.1600036621094,10018600,0,0
2021-07-13,351.5,358.489990234375,348.79998779296875,352.0899963378906,11456000,0,0
2021-07-14,354.55999755859375,355.20001220703125,346.7300109863281,347.6300048828125,13894200,0,0
2021-07-15,349.2300109863281,349.2300109863281,340.2200012207031,344.4599914550781,14781600,0,0
2021-07-16,344.9100036621094,345.989990234375,340.1400146484375,341.1600036621094,11026100,0,0
2021-07-19,337.57000732421875,339.7900085449219,334.5400085449219,336.95001220703125,14372300,0,0
2021-07-20,338.79998779296875,343.45001220703125,334.5,341.6600036621094,11024300,0,0
2021-07-21,341.5,346.5199890136719,341.25,346.2300109863281,9279700,0,0
2021-07-22,346.67999267578125,351.5400085449219,345.2099914550781,351.19000244140625,12385400,0,0
2021-07-23,360.9100036621094,375.3299865722656,357.19000244140625,369.7900085449219,33694300,0,0
2021-07-26,369.5799865722656,374.44000244140625,368.2200012207031,372.4599914550781,14925200,0,0
2021-07-27,371.9100036621094,373.1499938964844,364.54998779296875,367.80999755859375,15705400,0,0
2021-07-28,374.55999755859375,377.54998779296875,366.92999267578125,373.2799987792969,29676900,0,0
2021-07-29,361.0,365.5199890136719,356.739990234375,358.32000732421875,33413200,0,0
2021-07-30,354.0,360.7300109863281,352.94000244140625,356.29998779296875,15966700,0,0
2021-08-02,358.1000061035156,359.3999938964844,350.739990234375,351.95001220703125,13180400,0,0
2021-08-03,352.7300109863281,353.7699890136719,347.70001220703125,351.239990234375,12406100,0,0
2021-08-04,352.4200134277344,360.4800109863281,351.510009765625,358.9200134277344,14180600,0,0
2021-08-05,359.6400146484375,363.8999938964844,356.8999938964844,362.9700012207031,10247200,0,0
2021-08-06,361.3999938964844,365.1499938964844,361.3999938964844,363.510009765625,8918100,0,0
2021-08-09,363.760009765625,365.7799987792969,360.75,361.6099853515625,7798900,0,0
2021-08-10,361.8299865722656,364.1000061035156,359.0400085449219,361.1300048828125,7469900,0,0
2021-08-11,362.1000061035156,362.3599853515625,357.80999755859375,359.9599914550781,8400300,0,0
2021-08-12,358.45001220703125,363.0,357.1099853515625,362.6499938964844,7170700,0,0
